respondent_id,age,gender,profession,education_level,years_of_experience,hospital_type,hospital_location,ai_awareness_q1,ai_awareness_q2,ai_awareness_q3,ai_awareness_q4,ai_awareness_score,privacy_q1,privacy_q2,privacy_q3,privacy_q4,privacy_score,human_factor_q1,human_factor_q2,human_factor_q3,human_factor_q4,human_factor_score,infrastructure_q1,infrastructure_q2,infrastructure_q3,infrastructure_q4,infrastructure_q5,infrastructure_score,adoption_q1,adoption_q2,adoption_q3,adoption_q4,adoption_readiness_score,adoption_readiness_category
1,32,Female,Healthcare Student,Bachelor's (completed),1,Public,Dhaka,1.0,3.0,3.0,2.0,2.25,5.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,1.75,3.0,3.0,4.0,5.0,,3.75,2.0,3.0,3.0,2.0,2.5,Low
2,48,Male,Nurse,Bachelor's (ongoing),16,Public,Other Urban,2.0,,3.0,3.0,2.6666666666666665,1.0,2.0,1.0,2.0,1.5,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.4,2.0,2.0,2.0,1.0,1.75,Low
3,39,Female,Other,Bachelor's (completed),16,NGO/Other,Chattogram,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.75,3.0,2.0,2.0,2.0,2.25,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,High
4,36,Female,IT Staff,Bachelor's (completed),18,Public,Other Urban,5.0,4.0,4.0,5.0,4.5,1.0,1.0,1.0,2.0,1.25,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,2.0,3.0,2.8,3.0,4.0,5.0,5.0,4.25,High
5,27,Male,Doctor,Postgraduate/Doctoral,5,Public,Dhaka,5.0,4.0,5.0,5.0,4.75,3.0,3.0,2.0,3.0,2.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,3.25,Medium
6,27,Female,Healthcare Student,Bachelor's (ongoing),1,Private,Rural,2.0,1.0,2.0,1.0,1.5,2.0,2.0,3.0,3.0,2.5,3.0,4.0,3.0,3.0,3.25,2.0,2.0,1.0,1.0,1.0,1.4,2.0,1.0,3.0,1.0,1.75,Low
7,24,Female,Nurse,Bachelor's (completed),0,Public,Other Urban,3.0,5.0,5.0,4.0,4.25,4.0,3.0,4.0,3.0,3.5,3.0,4.0,2.0,4.0,3.25,4.0,3.0,3.0,4.0,2.0,3.2,2.0,2.0,2.0,2.0,2.0,Low
8,44,Female,Doctor,Bachelor's (completed),14,Public,Not Applicable,3.0,3.0,4.0,4.0,3.5,1.0,3.0,3.0,3.0,2.5,2.0,4.0,4.0,3.0,3.25,2.0,3.0,3.0,3.0,2.0,2.6,1.0,1.0,2.0,1.0,1.25,Low
9,36,Male,Doctor,Bachelor's (completed),13,Public,Dhaka,4.0,3.0,3.0,3.0,3.25,4.0,4.0,5.0,4.0,4.25,3.0,1.0,3.0,2.0,2.25,4.0,5.0,5.0,5.0,4.0,4.6,4.0,4.0,4.0,5.0,4.25,High
10,39,Male,IT Staff,Bachelor's (completed),6,Public,Dhaka,2.0,4.0,4.0,3.0,3.25,3.0,2.0,4.0,2.0,2.75,3.0,4.0,4.0,3.0,3.5,4.0,,4.0,3.0,3.0,3.5,4.0,4.0,4.0,5.0,4.25,High
